Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,두산,김재환,101,0.271,0.386,0.435,140.7,18.8,13.9,0.318,0.00,0,,0.318,0.408,0.530,0.105,0.320,0.105,0.333,0.500,0.333
2025,두산,이유찬,33,0.300,0.364,0.400,117.2,18.2,9.1,0.375,0.46,3,100.0,0.200,0.238,0.200,0.500,0.583,0.800,0.000,0.000,0.000
2025,두산,박준영,92,0.259,0.341,0.358,103.8,28.3,9.8,0.382,0.17,1,100.0,0.239,0.311,0.328,0.357,0.471,0.500,0.000,0.000,0.000
2025,두산,강승호,127,0.202,0.276,0.307,60.7,31.5,7.9,0.297,0.08,3,75.0,0.202,0.261,0.310,0.200,0.314,0.300,0.500,0.500,0.500
2025,두산,김기연,51,0.295,0.347,0.432,120.2,23.5,7.8,0.375,0.01,0,,0.300,0.313,0.367,0.286,0.412,0.571,0.000,0.000,0.000
2025,두산,추재현,40,0.243,0.282,0.432,95.5,15.0,2.5,0.267,0.00,0,,0.261,0.292,0.478,0.214,0.267,0.357,,,
2025,두산,오명진,58,0.222,0.276,0.389,82.0,27.6,5.2,0.297,0.01,0,,0.205,0.271,0.318,0.300,0.300,0.700,0.250,0.250,0.750
2025,두산,김민혁,5,0.250,0.400,0.250,106.6,40.0,20.0,0.500,,0,,,1.000,,0.250,0.250,0.250,,,
2025,두산,여동건,2,0.000,0.000,0.000,-168.1,0.0,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,,,
2025,두산,박신지,0,,,,,,,,,0,,,,,,,,,,
2025,두산,홍민규,0,,,,,,,,,0,,,,,,,,,,
2025,두산,박준순,7,0.167,0.286,0.167,35.4,14.3,14.3,0.200,-0.43,0,0.0,0.200,0.333,0.200,0.000,0.000,0.000,,,
2025,두산,김동준,2,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,0.000,0.000,0.000
2025,두산,장승현,2,0.000,0.000,0.000,-140.6,0.0,0.0,0.000,,0,,,,,0.000,0.000,0.000,,,
2025,두산,류현준,3,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,,,
2025,두산,조수행,41,0.171,0.256,0.171,17.4,24.4,9.8,0.240,0.73,7,87.5,0.167,0.231,0.167,0.182,0.308,0.182,0.500,0.500,0.500
2025,두산,전다민,4,0.000,0.000,0.000,-154.9,0.0,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,0.000,0.000,0.000
2025,두산,박지훈,8,0.167,0.286,0.167,43.6,25.0,0.0,0.250,0.00,0,,0.000,0.200,0.000,0.500,0.500,0.500,0.000,0.000,0.000
2025,두산,박계범,62,0.200,0.254,0.291,45.6,29.0,6.5,0.297,0.01,0,,0.209,0.244,0.302,0.167,0.286,0.250,0.000,0.000,0.000
2025,두산,김민석,51,0.204,0.235,0.265,26.0,29.4,3.9,0.294,-0.43,0,0.0,0.209,0.227,0.279,0.167,0.286,0.167,0.333,0.333,0.333
2025,한화,노시환,133,0.269,0.346,0.555,137.7,22.6,8.3,0.288,0.40,5,83.3,0.263,0.314,0.525,0.282,0.404,0.615,0.167,0.167,0.167
2025,한화,이진영,67,0.328,0.403,0.534,158.1,25.4,10.4,0.425,-0.42,0,0.0,0.324,0.410,0.471,0.333,0.393,0.625,0.000,0.333,0.000
2025,한화,최재훈,68,0.261,0.424,0.283,120.3,8.8,16.2,0.273,-0.28,1,50.0,0.278,0.404,0.306,0.200,0.474,0.200,0.333,0.500,0.333
2025,한화,플로리얼,141,0.266,0.326,0.414,98.0,27.0,8.5,0.360,-0.91,5,62.5,0.231,0.282,0.372,0.320,0.393,0.480,0.500,0.500,0.500
2025,한화,하주석,19,0.278,0.316,0.389,88.3,36.8,5.3,0.455,0.00,0,,0.231,0.231,0.308,0.400,0.500,0.600,,,
2025,한화,문현빈,109,0.300,0.358,0.470,125.9,15.6,7.3,0.329,0.36,5,83.3,0.333,0.403,0.617,0.250,0.286,0.250,0.000,0.250,0.000
2025,한화,채은성,124,0.268,0.339,0.429,110.1,23.4,7.3,0.346,-0.70,0,0.0,0.227,0.301,0.333,0.351,0.415,0.622,0.200,0.200,0.400
2025,한화,이도윤,52,0.222,0.265,0.356,58.8,15.4,5.8,0.263,0.00,0,,0.265,0.306,0.441,0.091,0.154,0.091,0.250,0.250,0.500
2025,한화,허인서,1,1.000,1.000,2.000,761.2,0.0,0.0,1.000,,0,,1.000,1.000,2.000,,,,,,
2025,한화,이원석,27,0.087,0.222,0.087,-8.6,33.3,11.1,0.143,0.83,5,100.0,0.111,0.273,0.111,0.000,0.000,0.000,,,
2025,한화,최인호,32,0.269,0.406,0.346,121.6,21.9,15.6,0.368,0.17,1,100.0,0.238,0.360,0.333,0.400,0.571,0.400,0.000,0.000,0.000
2025,한화,김서현,0,,,,,,,,,0,,,,,,,,,,
2025,한화,정우주,0,,,,,,,,,0,,,,,,,,,,
2025,한화,김승일,0,,,,,,,,,0,,,,,,,,,,
2025,한화,조동욱,0,,,,,,,,,0,,,,,,,,,,
2025,한화,심우준,84,0.177,0.207,0.266,12.5,22.6,3.6,0.220,0.50,3,100.0,0.161,0.190,0.214,0.217,0.250,0.391,0.400,0.400,0.400
2025,한화,김태연,108,0.245,0.302,0.296,61.0,19.4,5.6,0.303,-0.10,2,66.7,0.254,0.324,0.328,0.226,0.250,0.226,0.250,0.250,0.250
2025,한화,권광민,3,0.000,0.000,0.000,-146.9,33.3,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,,,
2025,한화,임종찬,34,0.172,0.294,0.310,68.3,38.2,14.7,0.267,0.16,1,100.0,0.136,0.296,0.273,0.286,0.286,0.429,,1.000,
2025,한화,이재원,41,0.139,0.195,0.194,-7.9,19.5,7.3,0.167,-0.01,0,,0.120,0.185,0.120,0.182,0.214,0.364,0.000,0.000,0.000
2025,한화,이상혁,4,0.333,0.333,0.333,77.7,0.0,0.0,0.333,-0.70,1,33.3,0.333,0.333,0.333,,,,,,
2025,한화,황영묵,88,0.197,0.299,0.303,65.7,10.2,12.5,0.212,0.02,0,,0.208,0.309,0.354,0.179,0.281,0.214,0.500,0.500,0.500
2025,한화,안치홍,51,0.109,0.196,0.109,-26.8,19.6,9.8,0.139,0.17,1,100.0,0.172,0.250,0.172,0.000,0.105,0.000,0.250,0.250,0.250
2025,키움,카디네스,116,0.261,0.397,0.446,153.3,19.0,15.5,0.294,-0.27,1,50.0,0.233,0.368,0.383,0.313,0.450,0.563,0.125,0.222,0.125
2025,키움,송성문,144,0.214,0.306,0.389,94.1,11.8,11.8,0.210,0.68,4,100.0,0.238,0.330,0.464,0.167,0.255,0.238,0.222,0.300,0.333
2025,키움,이주형,107,0.237,0.336,0.333,99.4,30.8,7.5,0.345,0.01,0,,0.258,0.370,0.355,0.194,0.265,0.290,0.286,0.286,0.429
2025,키움,최주환,132,0.298,0.348,0.455,129.0,12.9,6.1,0.330,0.03,0,,0.316,0.357,0.519,0.262,0.333,0.333,0.167,0.444,0.333
2025,키움,오선진,48,0.275,0.370,0.425,137.4,14.6,8.3,0.313,0.01,0,,0.200,0.400,0.333,0.320,0.346,0.480,0.000,0.000,0.000
2025,키움,원성준,9,0.222,0.222,0.556,102.1,33.3,0.0,0.200,0.00,0,,0.667,0.667,1.667,0.000,0.000,0.000,,,
2025,키움,이용규,9,0.286,0.444,0.286,150.5,22.2,22.2,0.400,0.17,1,100.0,0.400,0.500,0.400,0.000,0.333,0.000,,,
2025,키움,박주홍,79,0.229,0.295,0.343,73.9,34.2,8.9,0.333,1.00,6,100.0,0.250,0.315,0.417,0.182,0.250,0.182,0.600,0.600,0.600
2025,키움,이형종,14,0.214,0.214,0.214,-3.3,21.4,0.0,0.273,0.00,0,,0.300,0.300,0.300,0.000,0.000,0.000,,,
2025,키움,주승우,0,,,,,,,,,0,,,,,,,,,,
2025,키움,박윤성,0,,,,,,,,,0,,,,,,,,,,
2025,키움,박주성,0,,,,,,,,,0,,,,,,,,,,
2025,키움,김동헌,34,0.233,0.324,0.267,74.6,23.5,8.8,0.318,0.01,0,,0.211,0.318,0.263,0.273,0.333,0.273,1.000,1.000,1.000
2025,키움,권혁빈,1,0.000,0.000,0.000,-132.3,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,,,
2025,키움,서유신,1,0.000,0.000,0.000,-168.1,100.0,0.0,,,0,,0.000,0.000,0.000,,,,,,
2025,키움,임지열,33,0.258,0.303,0.290,64.4,42.4,6.1,0.471,0.32,2,100.0,0.250,0.286,0.250,0.273,0.333,0.364,0.250,0.250,0.250
2025,키움,송지후,3,0.333,0.333,0.333,88.0,0.0,0.0,0.333,0.00,0,,0.000,0.000,0.000,0.500,0.500,0.500,,,
2025,키움,변상권,14,0.231,0.214,0.308,19.8,7.1,0.0,0.231,0.00,0,,0.182,0.167,0.273,0.500,0.500,0.500,0.000,0.000,0.000
2025,키움,전태현,82,0.250,0.325,0.292,76.5,30.5,9.8,0.383,0.17,1,100.0,0.222,0.288,0.278,0.333,0.429,0.333,0.286,0.375,0.571
2025,키움,양현종,5,0.000,0.200,0.000,-34.4,40.0,20.0,0.000,0.00,0,,,,,0.000,0.200,0.000,,,
2025,키움,이재상,2,0.500,0.500,0.500,170.0,50.0,0.0,1.000,0.00,0,,1.000,1.000,1.000,0.000,0.000,0.000,,,
2025,키움,김웅빈,19,0.143,0.368,0.143,78.5,5.3,26.3,0.154,0.00,0,,0.222,0.462,0.222,0.000,0.167,0.000,0.333,0.333,0.333
2025,키움,이승원,2,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,,,,0.000,0.000,0.000,,,
2025,키움,김건희,54,0.173,0.185,0.269,1.1,42.6,1.9,0.276,0.01,0,,0.206,0.229,0.324,0.118,0.111,0.176,0.250,0.250,0.500
2025,키움,김재현,44,0.171,0.227,0.244,23.0,22.7,2.3,0.226,0.02,0,,0.107,0.194,0.143,0.308,0.308,0.462,0.333,0.500,0.333
2025,키움,김태진,95,0.279,0.340,0.395,110.3,14.7,8.4,0.324,0.02,0,,0.300,0.329,0.443,0.188,0.381,0.188,0.500,0.556,1.125
2025,키움,장재영,16,0.143,0.250,0.143,9.9,43.8,12.5,0.286,0.16,1,100.0,0.200,0.333,0.200,0.111,0.200,0.111,,1.000,
2025,키움,여동욱,24,0.190,0.292,0.333,69.0,37.5,12.5,0.273,0.00,0,,0.154,0.214,0.385,0.250,0.400,0.250,,1.000,
2025,키움,강진성,13,0.182,0.308,0.182,52.2,7.7,15.4,0.200,0.00,0,,0.250,0.400,0.250,0.143,0.250,0.143,0.000,0.000,0.000
2025,키움,고영우,4,0.000,0.000,0.000,-161.0,100.0,0.0,,,0,,,,,0.000,0.000,0.000,,,
2025,키움,푸이그,117,0.217,0.291,0.349,78.0,23.9,6.0,0.257,0.01,0,,0.178,0.250,0.315,0.303,0.378,0.424,0.333,0.333,0.333
2025,키움,임병욱,17,0.200,0.294,0.200,40.5,23.5,11.8,0.273,0.00,0,,0.167,0.231,0.167,0.333,0.500,0.333,0.250,0.250,0.250
2025,키움,박수종,9,0.000,0.000,0.000,-155.5,22.2,0.0,0.000,0.00,1,100.0,0.000,0.000,0.000,0.000,0.000,0.000,,,
2025,키움,어준서,46,0.250,0.261,0.341,53.8,32.6,2.2,0.345,-0.01,0,,0.219,0.235,0.344,0.333,0.333,0.333,0.250,0.250,0.250
2025,KIA,위즈덤,116,0.277,0.405,0.638,189.3,24.1,17.2,0.293,0.31,2,100.0,0.288,0.415,0.742,0.250,0.382,0.393,0.125,0.300,0.125
2025,KIA,최형우,113,0.283,0.372,0.505,144.3,19.5,12.4,0.329,0.02,0,,0.275,0.390,0.536,0.300,0.323,0.433,0.375,0.444,0.875
2025,KIA,김선빈,67,0.362,0.439,0.466,163.3,9.0,11.9,0.404,0.01,0,,0.378,0.429,0.511,0.308,0.471,0.308,1.000,1.000,1.000
2025,KIA,박찬호,92,0.278,0.367,0.354,108.3,12.0,12.0,0.313,-0.09,2,66.7,0.328,0.391,0.414,0.143,0.308,0.190,0.250,0.333,0.250
2025,KIA,김도영,18,0.375,0.444,0.688,218.6,22.2,11.1,0.455,0.01,0,,0.182,0.250,0.455,0.800,0.833,1.200,,,
2025,KIA,오선우,39,0.306,0.359,0.500,133.5,30.8,7.7,0.409,0.00,0,,0.323,0.382,0.548,0.200,0.200,0.200,0.333,0.333,0.333
2025,KIA,변우혁,100,0.247,0.300,0.312,67.1,29.0,6.0,0.359,0.00,0,,0.243,0.284,0.314,0.261,0.346,0.304,0.429,0.429,0.571
2025,KIA,나성범,110,0.226,0.345,0.409,114.6,19.1,14.5,0.250,0.00,0,,0.267,0.389,0.550,0.152,0.263,0.152,0.250,0.333,0.750
2025,KIA,김태군,60,0.216,0.305,0.294,68.4,5.0,10.0,0.225,0.00,0,,0.303,0.368,0.424,0.056,0.190,0.056,0.000,0.333,0.000
2025,KIA,박정우,11,0.375,0.545,0.625,251.7,18.2,27.3,0.500,-0.43,0,0.0,0.375,0.500,0.625,,1.000,,,,
2025,KIA,한승택,9,0.250,0.333,0.375,96.1,22.2,11.1,0.333,0.00,0,,0.286,0.375,0.429,0.000,0.000,0.000,,,
2025,KIA,김규성,61,0.222,0.288,0.241,43.8,31.1,8.2,0.343,0.17,1,100.0,0.227,0.292,0.227,0.200,0.273,0.300,0.000,0.000,0.000
2025,KIA,윤도현,8,0.333,0.500,0.667,240.5,25.0,25.0,0.500,0.00,0,,0.000,0.500,0.000,0.500,0.500,1.000,,,
2025,KIA,김호령,5,0.000,0.500,0.000,144.7,20.0,40.0,0.000,0.00,0,,0.000,0.500,0.000,0.000,0.500,0.000,,,
2025,KIA,한준수,48,0.167,0.250,0.381,62.8,18.8,10.4,0.156,0.00,0,,0.147,0.250,0.382,0.250,0.250,0.375,0.000,0.000,0.000
2025,KIA,이우성,101,0.261,0.347,0.432,117.7,19.8,11.9,0.313,0.00,0,,0.222,0.296,0.365,0.360,0.467,0.600,0.250,0.250,0.250
2025,KIA,김대유,0,,,,,,,,,0,,,,,,,,,,
2025,KIA,정해영,0,,,,,,,,,0,,,,,,,,,,
2025,KIA,황동하,0,,,,,,,,,0,,,,,,,,,,
2025,KIA,최정용,6,0.167,0.167,0.167,-35.3,33.3,0.0,0.250,0.00,0,,0.167,0.167,0.167,,,,,,
2025,KIA,서건창,26,0.136,0.208,0.318,29.9,19.2,7.7,0.125,0.17,1,100.0,0.200,0.250,0.467,0.000,0.125,0.000,0.000,0.000,0.000
2025,KIA,홍종표,30,0.167,0.250,0.167,11.3,16.7,10.0,0.200,0.00,0,,0.136,0.200,0.136,0.500,0.667,0.500,0.000,0.000,0.000
2025,KIA,박재현,27,0.120,0.185,0.160,-18.2,29.6,7.4,0.177,0.07,3,75.0,0.000,0.118,0.000,0.300,0.300,0.400,0.000,0.000,0.000
2025,KIA,최원준,106,0.222,0.274,0.303,52.1,17.9,5.7,0.256,0.63,4,100.0,0.233,0.282,0.329,0.192,0.250,0.231,0.167,0.167,0.167
2025,NC,손아섭,102,0.376,0.422,0.484,156.9,11.8,7.8,0.427,-0.85,0,0.0,0.391,0.429,0.484,0.345,0.406,0.483,0.429,0.429,0.571
2025,NC,김형준,83,0.230,0.293,0.541,117.0,37.3,8.4,0.290,0.01,0,,0.200,0.234,0.500,0.357,0.500,0.714,0.167,0.286,0.667
2025,NC,데이비슨,73,0.274,0.342,0.581,145.0,28.8,8.2,0.308,0.00,0,,0.200,0.250,0.422,0.471,0.571,1.000,0.167,0.286,0.167
2025,NC,박민우,94,0.289,0.366,0.398,120.2,17.0,6.4,0.358,-0.50,5,62.5,0.333,0.394,0.433,0.174,0.296,0.304,0.500,0.571,0.667
2025,NC,권희동,98,0.268,0.464,0.352,162.1,13.3,19.4,0.316,-0.44,0,0.0,0.315,0.479,0.426,0.118,0.423,0.118,0.100,0.100,0.100
2025,NC,김주원,117,0.200,0.296,0.310,67.5,22.2,11.1,0.247,-0.62,4,57.1,0.214,0.286,0.329,0.167,0.316,0.267,0.286,0.286,0.286
2025,NC,한석현,26,0.250,0.478,0.438,181.5,3.8,15.4,0.214,0.16,1,100.0,0.214,0.450,0.429,0.500,0.667,0.500,0.000,0.500,0.000
2025,NC,도태훈,36,0.250,0.364,0.357,109.9,11.1,13.9,0.292,0.33,2,100.0,0.240,0.367,0.320,0.250,0.250,0.500,0.000,0.500,0.000
2025,NC,김한별,1,0.000,0.000,0.000,-147.8,0.0,0.0,0.000,0.00,0,,0.000,0.000,0.000,,,,0.000,0.000,0.000
2025,NC,박건우,41,0.343,0.390,0.457,137.7,9.8,9.8,0.364,-0.42,0,0.0,0.407,0.419,0.556,0.125,0.300,0.125,,0.000,
2025,NC,김시훈,0,,,,,,,,,0,,,,,,,,,,
2025,NC,손주환,0,,,,,,,,,0,,,,,,,,,,
2025,NC,류진욱,0,,,,,,,,,0,,,,,,,,,,
2025,NC,박영빈,1,0.000,0.000,0.000,-132.3,100.0,0.0,,0.00,1,100.0,0.000,0.000,0.000,,,,,,
2025,NC,한재환,28,0.200,0.286,0.200,37.1,42.9,7.1,0.385,0.00,0,,0.211,0.286,0.211,0.167,0.286,0.167,,1.000,
2025,NC,서호철,69,0.306,0.323,0.387,89.1,14.5,1.4,0.346,0.07,3,75.0,0.348,0.367,0.457,0.188,0.188,0.188,0.000,0.000,0.000
2025,NC,박한결,19,0.118,0.211,0.471,67.8,42.1,10.5,0.000,0.00,0,,0.000,0.000,0.000,0.250,0.400,1.000,0.000,0.000,0.000
2025,NC,송승환,4,0.250,0.250,0.250,20.2,25.0,0.0,0.333,0.00,0,,0.000,0.000,0.000,0.500,0.500,0.500,0.000,0.000,0.000
2025,NC,박시원,31,0.231,0.333,0.269,73.5,32.3,12.9,0.375,0.17,1,100.0,0.231,0.333,0.269,,,,0.000,0.000,0.000
2025,NC,오영수,26,0.200,0.231,0.360,45.9,46.2,3.8,0.333,-0.44,0,0.0,0.190,0.190,0.381,0.250,0.400,0.250,0.250,0.250,0.250
2025,NC,최정원,4,0.000,0.250,0.000,-1.5,50.0,25.0,0.000,0.16,1,100.0,0.000,0.250,0.000,,,,0.000,0.000,0.000
2025,NC,김성욱,9,0.111,0.111,0.111,-67.8,55.6,0.0,0.250,-0.43,0,0.0,0.000,0.000,0.000,0.500,0.500,0.500,,,
2025,NC,김휘집,93,0.185,0.283,0.333,68.1,21.5,9.7,0.207,0.01,0,,0.164,0.271,0.197,0.250,0.318,0.750,0.111,0.200,0.111
2025,NC,박세혁,27,0.080,0.148,0.200,-24.7,51.9,7.4,0.100,0.00,0,,0.083,0.154,0.208,0.000,0.000,0.000,0.000,0.000,0.000
2025,NC,천재환,42,0.154,0.190,0.154,-23.3,35.7,4.8,0.240,0.46,3,100.0,0.161,0.156,0.161,0.125,0.300,0.125,0.143,0.143,0.143
