Name,Team,Team_Info,Handedness
오스틴,LG,25+L1B,우타
박동원,LG,25+LC,우타
김민성,LG,23+L2B,우타
구본혁,LG,25+L3B,우타
최원영,LG,25+LLF,우타
이주헌,LG,25+LC,우타
송찬의,LG,25+LRF,우타
김현종,LG,24+LCF,우타
김주성,LG,24+L2B,우타
이재원,LG,23LRF,우타
김대원,LG,24LSS,우타
전준호,LG,24LC,우타
김성진,LG,24+LC,우타
문정빈,LG,25+LRF,우타
손용준,LG,25+LSS,우타
김수인,LG,24+L2B,우타
송대현,LG,23L2B,우타
김성우,LG,24+LC,우타
김민수,LG,24+L3B,우타
손호영,LG,24+L3B,우타
김기연,LG,23+LC,우타
허도환,LG,24LC,우타
김범석,LG,24+LDH,우타
정주현,LG,23L2B,우타
홍창기,LG,25+LRF,좌타
문보경,LG,25+L3B,좌타
오지환,LG,25+LSS,좌타
박해민,LG,25+LCF,좌타
문성주,LG,25+LRF,좌타
신민재,LG,25+L2B,좌타
김현수,LG,25+LDH,좌타
이천웅,LG,23LCF,좌타
안익훈,LG,24+LCF,좌타
최명경,LG,24LCF,좌타
이주형,LG,23+키CF,좌타
이영빈,LG,25+LSS,좌타
최승민,LG,25+LLF,좌타
함창건,LG,25+LLF,좌타
서건창,LG,23+L2B,좌타
이재현,삼성,25+삼SS,우타
강민호,삼성,25+삼C,우타
이원석,삼성,23+키1B,우타
이성규,삼성,25+삼CF,우타
박병호,삼성,25+삼1B,우타
김헌곤,삼성,25+삼RF,우타
피렐라,삼성,23삼LF,우타
맥키넌,삼성,24삼1B,우타
전병우,삼성,25+삼3B,우타
김태군,삼성,23+KC,우타
양도근,삼성,25+삼SS,우타
김민수,삼성,24+삼C,우타
이해승,삼성,23+삼2B,우타
심재훈,삼성,25+삼2B,우타
카디네스,삼성,24+삼RF,우타
강준서,삼성,23삼2B,우타
김태근,삼성,25+삼LF,우타
김도환,삼성,24+삼C,우타
이태훈,삼성,23삼1B,우타
이창용,삼성,25+삼1B,우타
조민성,삼성,23삼1B,우타
이병헌,삼성,25+삼C,우타
김호진,삼성,25+삼2B,우타
김호재,삼성,23삼3B,우타
김동엽,삼성,24+삼LF,우타
김재혁,삼성,25+삼LF,우타
구자욱,삼성,25+삼RF,좌타
김지찬,삼성,25+삼2B,좌타
김성윤,삼성,25+삼LF,좌타
김영웅,삼성,25+삼3B,좌타
류지혁,삼성,25+삼3B,좌타
디아즈,삼성,25+삼1B,좌타
윤정빈,삼성,25+삼RF,좌타
김동진,삼성,24삼2B,좌타
김재성,삼성,24+삼C,좌타
김현준,삼성,24삼CF,좌타
오재일,삼성,24+삼1B,좌타
홍현빈,삼성,25+삼CF,좌타
함수호,삼성,25+삼LF,좌타
김재상,삼성,24삼2B,좌타
송준석,삼성,23삼LF,좌타
양우현,삼성,24+삼2B,좌타
류승민,삼성,24삼LF,좌타
김상민,삼성,23삼LF,좌타
김태훈,삼성,24+삼RF,좌타
공민규,삼성,24+삼1B,좌타
강한울,삼성,24+삼3B,좌타
안주형,삼성,25+삼2B,좌타
최정,SSG,25+S3B,우타
에레디아,SSG,25+SLF,우타
이지영,SSG,25+SC,우타
오태곤,SSG,25+SLF,우타
하재훈,SSG,25+SLF,우타
김성현,SSG,25+S2B,우타
김강민,SSG,23SCF,우타
맥브룸,SSG,25+SLF,우타
채현우,SSG,25+SLF,우타
이율예,SSG,25+SC,우타
강진성,SSG,24+SRF,우타
김건웅,SSG,23S1B,우타
김수윤,SSG,25+S1B,우타
류효승,SSG,24+SLF,우타
조형우,SSG,25+SC,우타
현원회,SSG,25+SC,우타
석정우,SSG,25+S2B,우타
김찬형,SSG,25+SSS,우타
이흥련,SSG,23SC,우타
고명준,SSG,25+S1B,우타
최경모,SSG,24S2B,우타
박지환,SSG,25+SSS,우타
이재원,SSG,23+SC,우타
안상현,SSG,25+S2B,우타
박성한,SSG,25+SSS,좌타
최지훈,SSG,25+SCF,좌타
추신수,SSG,24SDH,좌타
정준재,SSG,25+S2B,좌타
김민식,SSG,24+SC,좌타
최주환,SSG,23+S2B,좌타
최준우,SSG,25+S2B,좌타
한유섬,SSG,25+SRF,좌타
최상민,SSG,25+SCF,좌타
김정민,SSG,23SLF,좌타
신범수,SSG,25+SC,좌타
김창평,SSG,25+SCF,좌타
최민창,SSG,24+SLF,좌타
정현승,SSG,25+SRF,좌타
최항,SSG,23+S2B,좌타
이정범,SSG,23+SLF,좌타
전의산,SSG,24S1B,좌타
전준우,롯데,25+롯DH,우타
윤동희,롯데,25+롯RF,우타
유강남,롯데,25+롯C,우타
안치홍,롯데,23+롯2B,우타
손호영,롯데,25+롯3B,우타
정훈,롯데,25+롯1B,우타
전민재,롯데,25+롯SS,우타
정보근,롯데,25+롯C,우타
손성빈,롯데,24+롯C,우타
김민성,롯데,25+롯2B,우타
배영빈,롯데,23롯2B,우타
오선진,롯데,24+롯3B,우타
한태양,롯데,25+롯2B,우타
이인한,롯데,25+롯CF,우타
지시완,롯데,23롯C,우타
백두산,롯데,24+롯C,우타
박형준,롯데,23롯LF,우타
강성우,롯데,25+롯2B,우타
박재엽,롯데,25+롯C,우타
강승구,롯데,24+롯C,우타
조세진,롯데,25+롯LF,우타
이선우,롯데,24롯RF,우타
김민수,롯데,23+롯3B,우타
강태율,롯데,24롯C,우타
신윤후,롯데,24+롯CF,우타
이주찬,롯데,24+롯2B,우타
정대선,롯데,24롯2B,우타
서동욱,롯데,24+롯C,우타
한동희,롯데,24+롯3B,우타
고승민,롯데,25+롯1B,좌타
나승엽,롯데,25+롯1B,좌타
황성빈,롯데,25+롯LF,좌타
박승욱,롯데,25+롯2B,좌타
노진혁,롯데,24+롯SS,좌타
안권수,롯데,23롯LF,좌타
이호준,롯데,25+롯2B,좌타
김동혁,롯데,25+롯LF,좌타
장두성,롯데,25+롯RF,좌타
이정훈,롯데,24+롯LF,좌타
렉스,롯데,23롯RF,좌타
추재현,롯데,24+롯RF,좌타
윤수녕,롯데,23롯RF,좌타
최항,롯데,25+롯2B,좌타
김민석,롯데,24+롯CF,좌타
이학주,롯데,24롯SS,좌타
레이예스,롯데,25+롯RF,양타
구드럼,롯데,23롯3B,양타
국해성,롯데,23롯RF,양타
장성우,KT,25+KC,우타
김상수,KT,25+KSS,우타
알포드,KT,23KLF,우타
황재균,KT,25+K3B,우타
박병호,KT,24+K1B,우타
배정대,KT,25+KCF,우타
오윤석,KT,25+K2B,우타
문상철,KT,25+K1B,우타
신본기,KT,24KSS,우타
안현민,KT,25+KRF,우타
심우준,KT,24+KSS,우타
허경민,KT,25+K3B,우타
조대현,KT,25+KC,우타
박경수,KT,24K2B,우타
장준원,KT,25+K3B,우타
강현우,KT,25+KC,우타
송민섭,KT,25+KRF,우타
강민성,KT,25+K2B,우타
문상인,KT,23KC,우타
김병희,KT,23K3B,우타
문상준,KT,23+K2B,우타
박민석,KT,24+K2B,우타
윤준혁,KT,25+KSS,우타
이상호,KT,23K2B,우타
김민혁,KT,25+KCF,좌타
강백호,KT,25+KRF,좌타
천성호,KT,25+K2B,좌타
권동진,KT,25+K2B,좌타
정준영,KT,24KLF,좌타
이호연,KT,24+K2B,좌타
김병준,KT,25+KCF,좌타
김준태,KT,24+KC,좌타
손민석,KT,23KSS,좌타
홍현빈,KT,24+KCF,좌타
안치영,KT,25+KRF,좌타
최성민,KT,25+KLF,좌타
유준규,KT,25+K2B,좌타
이시원,KT,23KCF,좌타
김건형,KT,24+KLF,좌타
오재일,KT,24+K1B,좌타
류현인,KT,23KSS,좌타
조용호,KT,24KLF,좌타
로하스,KT,25+KLF,양타
양의지,두산,25+두C,우타
강승호,두산,25+두2B,우타
양석환,두산,25+두1B,우타
허경민,두산,24+두3B,우타
김재호,두산,24두SS,우타
박준영,두산,25+두SS,우타
이유찬,두산,25+두2B,우타
김기연,두산,25+두C,우타
류현준,두산,25+두C,우타
강진성,두산,23+SRF,우타
박유연,두산,23두C,우타
김민혁,두산,25+두1B,우타
여동건,두산,25+두SS,우타
장규빈,두산,24+두C,우타
박준순,두산,25+두SS,우타
윤준호,두산,24두C,우타
권민석,두산,23두3B,우타
송승환,두산,23+두LF,우타
신성현,두산,23두1B,우타
박민준,두산,24+두C,우타
장승현,두산,25+두C,우타
임종성,두산,25+두2B,우타
박지훈,두산,25+두2B,우타
안승한,두산,24두C,우타
전민재,두산,24+두SS,우타
박계범,두산,25+두SS,우타
김태근,두산,24+두LF,우타
김대한,두산,24+두CF,우타
정수빈,두산,25+두CF,좌타
김재환,두산,25+두LF,좌타
로하스,두산,23두LF,좌타
제러드,두산,24두RF,좌타
케이브,두산,25+두RF,좌타
조수행,두산,25+두RF,좌타
김인태,두산,25+두LF,좌타
양찬열,두산,24두LF,좌타
추재현,두산,25+두RF,좌타
전다민,두산,25+두RF,좌타
오명진,두산,25+두SS,좌타
안재석,두산,23두2B,좌타
김동준,두산,25+두1B,좌타
홍성호,두산,24+두RF,좌타
김민석,두산,25+두CF,좌타
라모스,두산,24두RF,양타
서예일,두산,24두SS,양타
장승현,두산,23+두C,양타
노시환,한화,25+한3B,우타
최재훈,한화,25+한C,우타
이진영,한화,25+한RF,우타
채은성,한화,25+한1B,우타
김태연,한화,25+한1B,우타
안치홍,한화,25+한1B,우타
박상언,한화,24+한C,우타
허인서,한화,25+한C,우타
이민준,한화,23한SS,우타
이재용,한화,23한C,우타
김강민,한화,24한CF,우타
오선진,한화,23+한3B,우타
장운호,한화,23한CF,우타
장지승,한화,23한LF,우타
심우준,한화,25+한SS,우타
이원석,한화,25+한CF,우타
이재원,한화,25+한C,우타
김건,한화,23+한2B,우타
허관회,한화,23+한C,우타
박정현,한화,23한SS,우타
유로결,한화,24+한LF,우타
문현빈,한화,25+한CF,좌타
이도윤,한화,25+한SS,좌타
최인호,한화,25+한LF,좌타
황영묵,한화,25+한SS,좌타
정은원,한화,24한2B,좌타
플로리얼,한화,25+한CF,좌타
하주석,한화,25+한SS,좌타
유상빈,한화,23한CF,좌타
한경빈,한화,24+한IF,좌타
장진혁,한화,24+한CF,좌타
노수광,한화,23한LF,좌타
장규현,한화,24+한C,좌타
이성곤,한화,23한1B,좌타
임종찬,한화,25+한CF,좌타
권광민,한화,25+한LF,좌타
이명기,한화,24한LF,좌타
윌리엄스,한화,23한LF,좌타
이상혁,한화,25+한2B,좌타
오그레디,한화,23한LF,좌타
김인환,한화,24+한1B,좌타
페라자,한화,24한RF,양타
김휘집,키움,24+키SS,우타
러셀,키움,23키SS,우타
박수종,키움,25+키CF,우타
카디네스,키움,25+키RF,우타
이지영,키움,23+키C,우타
김동헌,키움,25+키C,우타
이형종,키움,25+키RF,우타
오선진,키움,25+키3B,우타
심휘윤,키움,24키2B,우타
박성빈,키움,24+키C,우타
권혁빈,키움,25+키2B,우타
서유신,키움,25+키2B,우타
송지후,키움,25+키2B,우타
양현종,키움,25+키2B,우타
송재선,키움,23키LF,우타
여동욱,키움,25+키2B,우타
강진성,키움,25+키RF,우타
김시앙,키움,24키C,우타
전병우,키움,23+키3B,우타
김건희,키움,25+키C,우타
박준형,키움,24키C,우타
김수환,키움,24키1B,우타
푸이그,키움,25+키RF,우타
신준우,키움,24키2B,우타
김병휘,키움,24+키2B,우타
장재영,키움,25+키CF,우타
주성원,키움,24+키RF,우타
고영우,키움,25+키3B,우타
김재현,키움,25+키C,우타
임지열,키움,25+키LF,우타
박찬혁,키움,23키LF,우타
김주형,키움,24키SS,우타
김혜성,키움,24키2B,좌타
송성문,키움,25+키3B,좌타
도슨,키움,24키CF,좌타
이주형,키움,25+키CF,좌타
이정후,키움,23키CF,좌타
이용규,키움,25+키LF,좌타
최주환,키움,25+키1B,좌타
전태현,키움,25+키2B,좌타
이병규,키움,23키LF,좌타
임병욱,키움,25+키CF,좌타
김준완,키움,23키LF,좌타
변상권,키움,25+키CF,좌타
박준태,키움,23키CF,좌타
원성준,키움,25+키CF,좌타
어준서,키움,25+키3B,좌타
김태진,키움,25+키3B,좌타
예진원,키움,24+키CF,좌타
박주홍,키움,25+키LF,좌타
김웅빈,키움,25+키1B,좌타
김도영,KIA,25+K3B,우타
박찬호,KIA,25+KSS,우타
김선빈,KIA,25+K2B,우타
이우성,KIA,25+KRF,우타
이창진,KIA,24+KLF,우타
위즈덤,KIA,25+K1B,우타
김태군,KIA,25+KC,우타
변우혁,KIA,25+K1B,우타
윤도현,KIA,25+KSS,우타
정해원,KIA,25+K2B,우타
김선우,KIA,23KC,우타
김호령,KIA,25+KCF,우타
박민,KIA,24+KSS,우타
김두현,KIA,24+KSS,우타
황대인,KIA,24+K1B,우타
한승택,KIA,25+KC,우타
소크라테스,KIA,24KCF,좌타
최형우,KIA,25+KDH,좌타
나성범,KIA,25+KRF,좌타
한준수,KIA,25+KC,좌타
최원준,KIA,25+K1B,좌타
서건창,KIA,25+K2B,좌타
박정우,KIA,25+KCF,좌타
고종욱,KIA,24+KLF,좌타
김규성,KIA,25+K2B,좌타
홍종표,KIA,25+K2B,좌타
류지혁,KIA,23+삼3B,좌타
오선우,KIA,25+KRF,좌타
최정용,KIA,25+K2B,좌타
신범수,KIA,23+KC,좌타
박재현,KIA,25+KLF,좌타
김석환,KIA,25+K1B,좌타
주효상,KIA,23+KC,좌타
권희동,NC,25+NLF,우타
박건우,NC,25+NRF,우타
데이비슨,NC,25+N1B,우타
서호철,NC,25+N3B,우타
김형준,NC,25+NC,우타
김휘집,NC,25+NSS,우타
천재환,NC,25+NCF,우타
박대온,NC,23+NC,우타
윤형준,NC,23N1B,우타
안중열,NC,24+NC,우타
송승환,NC,25+NLF,우타
신용석,NC,24+NC,우타
박한결,NC,25+NLF,우타
김세훈,NC,24+N2B,우타
최보성,NC,23N3B,우타
한재환,NC,25+N3B,우타
김범준,NC,24+NLF,우타
박주찬,NC,23NC,우타
김수윤,NC,24+N1B,우타
김성욱,NC,25+NRF,우타
오태양,NC,23NSS,우타
김한별,NC,25+NSS,우타
박석민,NC,23N3B,우타
박민우,NC,25+N2B,좌타
손아섭,NC,25+NDH,좌타
마틴,NC,23NCF,좌타
도태훈,NC,25+N3B,좌타
박세혁,NC,25+NC,좌타
최정원,NC,25+N2B,좌타
오장한,NC,23NRF,좌타
박영빈,NC,25+NCF,좌타
한석현,NC,25+NLF,좌타
조현진,NC,23N2B,좌타
오영수,NC,25+N3B,좌타
박시원,NC,25+NLF,좌타
김주원,NC,25+NSS,양타
